datetime,temperature,rain,wind,humidity,discomfort_index,perceived_temperature
2017-11-15,6.1,0.0,49.0,,,0.2263920242632631
2017-11-16,3.4,0.0,64.4,,,-4.282045955270691
2017-11-17,5.9,0.0,60.8,,,-0.6369783250402197
2017-11-20,4.5,0.0,43.6,,,-1.6197910638978672
2017-11-21,2.7,0.0,67.6,,,-5.413773865512232
2017-11-22,6.5,0.0,60.6,,,0.2038695785926734
2017-11-23,3.5,0.0,47.6,,,-3.22494498689976
2017-11-24,2.3,0.0,56.1,,,-5.370340734159069
2017-11-27,5.2,0.0,74.3,,,-2.1930752562983358
2017-11-28,8.4,0.0,77.9,,,2.2018597882463675
2017-11-29,9.4,0.0,55.6,,,4.425255529594539
2017-11-30,6.1,0.0,22.1,,,2.222181406294045
2017-12-01,1.2,0.0,31.0,,,-5.00599520471094
2017-12-04,3.3,0.0,53.6,,,-3.8543387159721574
2017-12-05,-1.4,0.0,47.1,,,-9.837539590797595
2017-12-06,-0.2,0.0,61.1,,,-9.112100086608251
2017-12-07,2.0,0.0,64.0,,,-6.212542757559488
2017-12-08,0.7,0.0,35.0,,,-6.036931718694941
2017-12-11,0.6,0.0,39.9,,,-6.585669225172204
2017-12-12,-2.7,0.0,30.8,,,-10.08624882328894
2017-12-13,-3.2,0.0,34.8,,,-11.1715553557676
2017-12-14,-2.9,0.0,36.1,,,-10.905226765459576
2017-12-15,-0.3,0.0,37.1,,,-7.548818010728444
2017-12-18,0.7,0.0,56.9,,,-7.6210238274360185
2017-12-19,-0.1,0.0,51.6,,,-8.38567974230186
2017-12-20,-1.9,0.0,52.0,,,-10.87389086157692
2017-12-21,-1.1,0.0,60.1,,,-10.300390874490432
2017-12-22,-0.9,0.0,60.4,,,-10.041371319449318
2017-12-26,0.4,0.0,44.1,,,-7.179421993892221
2017-12-27,-1.4,0.0,30.8,,,-8.386319764206803
2017-12-28,-1.6,0.0,52.9,,,-10.525712187346338
2017-12-29,2.1,0.0,66.3,,,-6.189386286108231
